Annotation,Domain ID,Matched Members,Matched Count,Summed Significance Score,Enrichment P-value,Enrichment Q-value,Depletion P-value,Depletion Q-value
glycogen biosynthetic process,60,GAC1;GDB1;GIP2;GLC3;GLC8;GLG1;GLG2;GSY1;GSY2;IGD1;PCL10;PCL6;PCL7;PCL8;PGM1;PHO85;PIG2;PSK1;SAK1;UGP1,20,15.0,0.001,0.05621739130434782,1.0,1.0
"termination of RNA polymerase II transcription, poly(A)-coupled",43,NPL3;PCF11;PTA1;RAI1;RAT1;REF2;SSU72,7,30.0,0.001,0.11754545454545455,1.0,1.0
tubulin complex assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
mitochondrial outer membrane translocase complex assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
fungal-type cell wall beta-glucan biosynthetic process,57,GAS1;GAS3;GAS5;KAR2;KRE5;ROT2;SMI1,7,12.626727461475413,0.006,1.0,0.995,1.0
protein targeting to ER,-1,,0,0.0,1.0,1.0,1.0,1.0
pyruvate metabolic process,38,ACS2;ALD4;CDC19;EMI2;ENO1;ENO2;FBA1;GLK1;GPM1;GPM2;HXK1;HXK2;LAT1;LPD1;MAE1;PDA1;PDB1;PDC1;PDC5;PDX1;PFK1;PFK2;PFK27;PGI1;PGK1;PYC1;PYC2;PYK2;TDH1;TDH2;TDH3;TPI1,32,68.98970004336019,0.001,0.061571428571428576,1.0,1.0
regulation of apoptotic process,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of cellular catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
ribosomal small subunit export from nucleus,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of MAPK cascade,-1,,0,0.0,1.0,1.0,1.0,1.0
protein localization to cytoskeleton,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of developmental process,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of mitotic cell cycle phase transition,48,APC11;APC5;CCR4;CDC16;CDC23;CDC25;CDC55;CDH1;CLN1;CYS4;FIN1;GID8;GLC7;IGO1;IGO2;LTE1;MIH1;MND2;NUD1;RIM15;SDA1;WHI3;WHI5;XRN1;ZDS1;ZDS2,26,24.0,0.001,0.11754545454545455,1.0,1.0
L-methionine biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
L-methionine salvage from methylthioadenosine,-1,,0,0.0,1.0,1.0,1.0,1.0
protein polyubiquitination,48,APC1;APC2;APC4;APC5;BRE1;BUL1;BUL2;CDC34;DOC1;GPB1;GRR1;HEL2;HUL5;MET30;MMS2;MOT2;MPE1;PEX10;PEX12;RAD5;RAD6;SSA1;STP22;TOM1;UBC1;UBC4;UBC5;UBC6;UBC8;UBR1;UBR2;UFD2;UFD4,33,24.0,0.001,0.11754545454545455,1.0,1.0
tRNA wobble position uridine thiolation,-1,,0,0.0,1.0,1.0,1.0,1.0
maintenance of cell polarity,-1,,0,0.0,1.0,1.0,1.0,1.0
liposaccharide metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of silent mating-type cassette heterochromatin formation,-1,,0,0.0,1.0,1.0,1.0,1.0
purine-containing compound salvage,-1,,0,0.0,1.0,1.0,1.0,1.0
donor selection,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of division septum assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
response to acid chemical,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of Arp2/3 complex-mediated actin nucleation,-1,,0,0.0,1.0,1.0,1.0,1.0
reactive oxygen species metabolic process,15,AHP1;CCP1;CCS1;CTT1;CUP1-1;CUP1-2;LPD1;MRP1;RSM26;SOD1;SOD2;TDH2;TDH3;TRR1;TRR2;TSA1;TSA2,17,71.11176467952953,0.007,1.0,1.0,1.0
deoxyribonucleotide biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
N-glycan processing,27,GTB1;KRE2;KTR3;MNN1;ROT2,5,90.0,0.001,0.09946153846153846,0.996,1.0
response to temperature stimulus,56,DDR2;GAC1;GCN3;GET3;GLC7;GLE2;HSC82;HSF1;HSP104;HSP12;HSP26;HSP42;HSP78;HSP82;LCB5;LSP1;MDJ1;NMA111;NUP100;NUP120;NUP133;NUP188;NUP2;NUP60;NUP84;OLA1;SGT2;SIS1;TOR1;TPS1;TPS2;TTI2;YAP1;YDJ1,34,18.0,0.001,0.09235714285714286,1.0,1.0
protein-DNA complex disassembly,30,ARP7;ARP9;ASF1;HTL1;LDB7;NAP1;NPL6;RSC1;RSC2;RSC3;RSC30;RSC4;RSC58;RSC6;RSC8;RSC9;RTT102;SFH1;STH1;YTA7,20,81.0,0.001,0.2350909090909091,1.0,1.0
regulation of molecular function,-1,,0,0.0,1.0,1.0,1.0,1.0
mitotic spindle formation (spindle phase one),-1,,0,0.0,1.0,1.0,1.0,1.0
triglyceride metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
mitochondrial translational initiation,15,AEP2;AEP3;AIM23;IFM1;MRP21;MRP51;MSC6;RSM28,8,99.0,0.001,1.0,1.0,1.0
vesicle docking involved in exocytosis,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of protein ubiquitination,-1,,0,0.0,1.0,1.0,1.0,1.0
adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion,-1,,0,0.0,1.0,1.0,1.0,1.0
phosphatidylinositol dephosphorylation,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of organelle assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
telomere tethering at nuclear periphery,56,CTF18;CTF8;DCC1;ESC1;MLP1;MLP2;MPS2;MPS3;NUP100;NUP116;NUP120;NUP133;NUP145;NUP170;NUP49;NUP60;NUP84;SIR2;SIR3;SIR4,20,18.0,0.001,0.09235714285714286,1.0,1.0
indole-containing compound metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
amide transport,-1,,0,0.0,1.0,1.0,1.0,1.0
amino sugar metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of polysaccharide biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of filamentous growth,-1,,0,0.0,1.0,1.0,1.0,1.0
glucose 6-phosphate metabolic process,38,EMI2;GLK1;GND1;GND2;HXK1;HXK2;NQM1;PGI1;PGM1;RKI1;SOL1;SOL2;SOL3;SOL4;TAL1;TKL1;TKL2;ZWF1,18,72.0,0.001,0.061571428571428576,1.0,1.0
regulation of cellular ketone metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
branched-chain amino acid metabolic process,34,AAN1;ARO10;ARO80;BAT1;BAT2;CHA1;EHD3;HOM2;HOM6;ILV1;ILV2;ILV3;ILV5;ILV6;LEU1;LEU4;LEU9;LPD1;MMF1;PDC1;PDC5;PDC6,22,71.22184874961636,0.001,0.09946153846153846,1.0,1.0
intracellular protein transmembrane transport,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of phosphorus metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
assembly of actomyosin apparatus involved in mitotic cytokinesis,-1,,0,0.0,1.0,1.0,1.0,1.0
ribonucleotide catabolic process,38,CDC19;CIT1;EMI2;ENO1;ENO2;FBA1;GLK1;GPM1;GPM2;HXK1;HXK2;PDA1;PDB1;PFK1;PFK2;PFK27;PGI1;PGK1;PYK2;SCS3;TDH1;TDH2;TDH3;TPI1,24,70.4948500216801,0.001,0.061571428571428576,1.0,1.0
establishment of mitotic spindle orientation,-1,,0,0.0,1.0,1.0,1.0,1.0
protein retention in Golgi apparatus,-1,,0,0.0,1.0,1.0,1.0,1.0
nucleolar large rRNA transcription by RNA polymerase I,17,BUD27;CDC73;CTR9;DST1;HPR1;LEO1;MOT1;PAF1;RPA12;RPA135;RPA14;RPA190;RPA34;RPA43;RPA49;RRN10;RRN11;RRN5;RRN6;RRN7;RRN9;RTF1;SPT15;SPT4;SPT5;THO2;TOR1;TRI1;UAF30,29,111.0,0.001,0.07605882352941176,1.0,1.0
iron import into cell,51,AIM14;ARN2;ENB1;FET3;FET5;SIT1,6,16.10720996964787,0.005,1.0,1.0,1.0
regulation of ubiquitin-dependent protein catabolic process,48,CDH1;ESS1;MND2;PTH2;SCM3,5,16.366059924485402,0.009,0.6124736842105263,1.0,1.0
regulation of mitotic cytokinetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
endocytic recycling,-1,,0,0.0,1.0,1.0,1.0,1.0
carbon catabolite repression of transcription from RNA polymerase II promoter by glucose,-1,,0,0.0,1.0,1.0,1.0,1.0
lipid homeostasis,-1,,0,0.0,1.0,1.0,1.0,1.0
peroxisome inheritance,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of Ras protein signal transduction,-1,,0,0.0,1.0,1.0,1.0,1.0
actin filament bundle organization,-1,,0,0.0,1.0,1.0,1.0,1.0
phosphatidylcholine metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
lagging strand elongation,-1,,0,0.0,1.0,1.0,1.0,1.0
nuclear pore complex assembly,56,DYN2;KAP95;NUP157;NUP170;RTN1;YOP1,6,12.581460078048337,0.008,0.6896,1.0,1.0
mitochondrial genome maintenance,34,ABF2;ACO1;CCE1;CCM1;EXO5;GEP5;GGC1;HSP60;HSP78;ILM1;ILV5;IRC3;MDJ1;MDM10;MDM34;MDV1;MGM101;MHR1;MIP1;MMM1;MRPL51;MRX6;PIF1;PIM1;RAD51;RAD52;RAD59;RIM1;RPO41;RRG1;RRG8;RRG9;RRM3;SED1;SUV3;YHM2;YME2,37,69.0,0.001,0.09946153846153846,0.978,1.0
aromatic amino acid family catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
osmosensory signaling pathway,-1,,0,0.0,1.0,1.0,1.0,1.0
generation of catalytic spliceosome for second transesterification step,-1,,0,0.0,1.0,1.0,1.0,1.0
ribosome disassembly,-1,,0,0.0,1.0,1.0,1.0,1.0
protein localization to bud neck,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of mitochondrial translation,59,ATP22;CBP3;CBP6;CBS2;COA3;MDM38;MSS51;PET54,8,11.505149978319906,0.005,1.0,1.0,1.0
lysine biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
vesicle fusion to plasma membrane,-1,,0,0.0,1.0,1.0,1.0,1.0
copper ion transmembrane transport,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of MAPK cascade,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular response to xenobiotic stimulus,-1,,0,0.0,1.0,1.0,1.0,1.0
assembly of large subunit precursor of preribosome,3,DBP10;NIP7;NOG1;NOP2;RLP24;RPF2;SPB4;TIF6,8,171.0,0.001,0.18471428571428572,1.0,1.0
post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of TORC1 signaling,-1,,0,0.0,1.0,1.0,1.0,1.0
ribonucleoside diphosphate catabolic process,38,CDC19;EMI2;ENO1;ENO2;FBA1;GLK1;GPM1;GPM2;HXK1;HXK2;PDA1;PDB1;PFK1;PFK2;PFK27;PGI1;PGK1;PYK2;TDH1;TDH2;TDH3;TPI1,22,70.4948500216801,0.001,0.061571428571428576,1.0,1.0
response to acidic pH,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of invasive growth in response to glucose limitation,64,GAL11;PHO23;RXT2;SAP30;SNF2;SNF5;YTA7,7,12.581460078048337,0.008,1.0,1.0,1.0
mitotic spindle checkpoint signaling,-1,,0,0.0,1.0,1.0,1.0,1.0
"protein localization to chromosome, centromeric region",-1,,0,0.0,1.0,1.0,1.0,1.0
MAPK cascade,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular response to decreased oxygen levels,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of protein autoubiquitination,-1,,0,0.0,1.0,1.0,1.0,1.0
isoleucine metabolic process,34,BAT1;BAT2;CHA1;HOM2;HOM6;ILV1;ILV2;ILV3;ILV5;ILV6;LPD1;MMF1,12,76.0,0.001,0.09946153846153846,1.0,1.0
synaptonemal complex assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of DNA-templated transcription initiation,-1,,0,0.0,1.0,1.0,1.0,1.0
one-carbon metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
phospholipid homeostasis,-1,,0,0.0,1.0,1.0,1.0,1.0
mitotic chromosome condensation,-1,,0,0.0,1.0,1.0,1.0,1.0
mitotic spindle assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
pyridine-containing compound catabolic process,38,CDC19;EMI2;ENO1;ENO2;FBA1;GLK1;GPM1;GPM2;HXK1;HXK2;PDA1;PDB1;PFK1;PFK2;PFK27;PGI1;PGK1;PYK2;SMN1;TDH1;TDH2;TDH3;TPI1,23,70.4948500216801,0.001,0.061571428571428576,1.0,1.0
protein depolymerization,-1,,0,0.0,1.0,1.0,1.0,1.0
meiotic DNA double-strand break formation,-1,,0,0.0,1.0,1.0,1.0,1.0
nucleobase metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
protein import into mitochondrial matrix,-1,,0,0.0,1.0,1.0,1.0,1.0
nucleophagy,53,ATG1;ATG11;ATG13;ATG15;ATG18;ATG2;ATG3;ATG8;ATG9;CDC48;HMO1;NVJ1;OSH2;OSH3;OSH6;OSH7;RPD3;SHP1;SIN3;SNX4;SWH1;TRS85;VAC8;VAM3;VAM6;VAM7;VPS30;VPS33;VPS41;YCS4;YPT7,31,18.0,0.001,0.14366666666666666,1.0,1.0
positive regulation of intracellular signal transduction,-1,,0,0.0,1.0,1.0,1.0,1.0
hydrogen sulfide biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
mitotic DNA replication checkpoint signaling,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of proteolysis involved in protein catabolic process,14,CDH1;RPT1;RPT2;RPT3;RPT4;RPT5;RPT6,7,123.0,0.001,0.06805263157894736,1.0,1.0
"nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay",-1,,0,0.0,1.0,1.0,1.0,1.0
actin filament polymerization,47,ABP1;AIM21;AIM3;AIP1;ARC15;ARC18;ARC19;ARC35;BNI1;BUD14;BZZ1;CAP1;CAP2;LAS17;PFY1;SLA1;SRV2;TDA2;TWF1,19,31.193820026016112,0.001,0.1293,1.0,1.0
regulation of translational termination,-1,,0,0.0,1.0,1.0,1.0,1.0
peptide pheromone maturation,-1,,0,0.0,1.0,1.0,1.0,1.0
dephosphorylation,-1,,0,0.0,1.0,1.0,1.0,1.0
mitotic spindle orientation checkpoint signaling,-1,,0,0.0,1.0,1.0,1.0,1.0
iron ion transport,-1,,0,0.0,1.0,1.0,1.0,1.0
protein insertion into mitochondrial inner membrane,-1,,0,0.0,1.0,1.0,1.0,1.0
"DNA replication, synthesis of RNA primer",-1,,0,0.0,1.0,1.0,1.0,1.0
actin cortical patch localization,-1,,0,0.0,1.0,1.0,1.0,1.0
ribonucleoside biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
gene conversion,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of pH,25,DBF2;MEH1;NHX1;PFK1;PFK2;PMA1;PMA2;RAV1;RAV2;RRG1;SKP1;STV1;VMA1;VMA10;VMA11;VMA13;VMA16;VMA2;VMA3;VMA4;VMA5;VMA6;VMA7;VMA8;VPH1;VPS3;VPS45,27,90.0,0.001,0.09946153846153846,1.0,1.0
protein localization to cell division site,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of transmembrane transport,10,ASK10;PHO87;PHO90;PHO91;RGC1;SAP155;SAP185;SKS1;SPC2;STE24,10,98.9442898135512,0.005,0.1701315789473684,0.995,1.0
fatty acid oxidation,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of signaling,-1,,0,0.0,1.0,1.0,1.0,1.0
ceramide transport,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of cell morphogenesis,-1,,0,0.0,1.0,1.0,1.0,1.0
